pl,v,markets,zip
1.61792839573654,7.92019677507516,4.0,15144.0
3.12016503352243,17.9731820526044,7.0,15146.0
1.45054945054945,13.1098901098901,3.0,15146.0
3.47252747252747,17.3736263736264,7.0,15146.0
2.16729755807912,15.2898389371335,5.0,15146.0
0.306091215182124,1.73160173160173,1.0,15140.0
1.40113143007499,14.0178923825812,3.0,15237.0
0.906491876438184,9.27410919740604,2.0,15025.0
0.990138539545654,8.36028266858306,2.0,15025.0
2.59803921568627,15.6045751633987,6.0,15129.0
6.61028650327925,24.7497411114947,10.0,15102.0
1.21768639584789,8.8431979239445,3.0,15046.0
1.26537647888427,6.33863511713547,3.0,15143.0
3.37593441041717,9.88666505907885,7.0,15143.0
3.05164319248826,12.7482845792705,7.0,15237.0
2.1745146878583,10.8488514608785,5.0,15237.0
3.23826070170359,15.7810916461561,7.0,15237.0
3.59503039915411,13.2170235263019,8.0,15237.0
1.94644696189495,9.93820803295572,4.0,15101.0
1.57943067033976,22.2681359044995,3.0,15101.0
1.39075996513194,16.2651557175687,3.0,15101.0
1.8465498673531,9.23012266554595,4.0,15101.0
3.36423289240704,19.9198000208312,7.0,15101.0
1.4372250945289,8.66772127478972,3.0,15101.0
2.71378207756006,18.1602033286874,6.0,15101.0
3.68814729574223,21.2485615650173,8.0,15101.0
3.1462954907931,19.9507032042917,7.0,15101.0
3.44348940259463,17.7673375687363,7.0,15101.0
1.75375251457162,20.1165729612627,4.0,15101.0
3.05084745762712,23.6652542372881,7.0,15030.0
6.04490500863558,43.1778929188256,10.0,15030.0
0.703176704169424,8.00380542686962,2.0,15239.0
0.862205765670458,12.610420523671,2.0,15239.0
0.991890205864005,11.4847161572052,2.0,15239.0
1.34980476639289,6.26767200754006,3.0,15239.0
1.92492781520693,9.62463907603465,4.0,15239.0
1.90870261612387,17.0848905499199,4.0,15146.0
0.794695529228219,4.87787041099898,2.0,15140.0
0.456972072725698,2.17224165376244,1.0,15090.0
